Country,Region,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Life_expectancy,above_or_below_GDP
Afghanistan,Asia,72.27333333333334,100.49333333333334,268.34296666666665,0.0172,64.53333333333333,23.2,22.406666666666666,54.6,54.46666666666667,0.022,398.73333333333335,26.986666666666668,16.54,15.466666666666667,2.8533333333333335,0,59.406666666666666,0
Albania,Rest of Europe,15.706666666666667,17.64666666666667,83.6615,4.721333333333333,97.93333333333334,95.8,25.806666666666665,98.06666666666666,98,0.025333333333333333,3012.3333333333335,2.9753333333333334,1.6466666666666667,1.7266666666666668,9.213333333333333,0,75.81333333333333,0
Algeria,Africa,27.1,31.593333333333334,114.6142,0.39066666666666666,87.86666666666666,92.86666666666666,24.826666666666668,91.53333333333333,91.66666666666667,0.02,3716.266666666667,34.49333333333333,6.1,5.986666666666666,6.933333333333334,0,73.63333333333333,0
Angola,Africa,90.84,147.9,301.50263333333334,4.8293333333333335,69.13333333333334,64,22.473333333333333,34,55,1.3313333333333333,2615.8,21.206666666666667,6.053333333333334,6.566666666666666,4.58,0,52.38666666666667,0
Antigua and Barbuda,Central America and Caribbean,9.673333333333334,11.766666666666666,143.31056666666666,7.668,98.2,74.86666666666666,25.8,97.66666666666667,98.26666666666667,0.12000000000000001,14705,0.08466666666666667,3.433333333333333,3.38,9.006666666666666,0,75.27333333333334,1
Argentina,South America,14.093333333333334,15.773333333333333,128.62753333333333,7.9239999999999995,84.73333333333333,84.53333333333333,26.8,92.2,92.26666666666667,0.14666666666666667,12061.133333333333,39.69866666666667,1.08,0.9533333333333334,9.34,0,74.78,1
Armenia,Rest of Europe,19.46,21.88,138.7701,3.714,87.13333333333334,94.53333333333333,25.919999999999998,94.06666666666666,92.33333333333333,0.08,2594.0666666666666,2.9526666666666666,2.033333333333333,2.106666666666667,11.02,0,72.88666666666667,0
Australia,Oceania,4.38,5.24,66.24033333333334,10.176666666666666,93.53333333333333,86.86666666666666,26.726666666666667,91.73333333333333,91.86666666666666,0.04733333333333334,51420.53333333333,21.120666666666665,0.6733333333333333,0.6266666666666666,12.146666666666667,1,81.02666666666667,1
Austria,European Union,3.8666666666666667,4.66,79.2187,12.268666666666666,80.26666666666667,59.13333333333333,25.28,85.53333333333333,86.33333333333333,0.08,42254.666666666664,8.272666666666666,1.72,1.9266666666666665,10.746666666666666,1,79.89333333333333,1
Azerbaijan,Asia,40.53333333333333,47.67333333333333,145.98216666666667,0.7633333333333333,66.33333333333333,78.33333333333333,26.14666666666667,83.93333333333334,81.4,0.12933333333333333,3701.266666666667,8.700666666666667,2.9066666666666667,2.9466666666666668,10.606666666666666,0,69.55333333333333,0
"Bahamas, The",Central America and Caribbean,13.653333333333334,15.959999999999999,174.47723333333334,9.912,93.26666666666667,83,27.286666666666665,95,95.8,0.6033333333333333,34186.933333333334,0.3353333333333333,2.5533333333333332,2.52,10.946666666666667,0,72.14666666666666,1
Bahrain,Middle East,8.426666666666666,9.826666666666666,75.96916666666667,1.8626666666666667,98.13333333333334,98.13333333333334,25.166666666666668,98,98.06666666666666,0.05,22004.933333333334,1.0253333333333334,6.1,5.94,8.52,0,75.58666666666666,1
Bangladesh,Asia,45.93333333333333,59.77333333333333,149.33276666666666,0.0028266666666666666,84.73333333333333,65,20.82,92.26666666666667,92.46666666666667,0.01,873.9333333333333,141.99933333333334,13.5,14.066666666666666,4.693333333333333,0,68.54,0
Barbados,Central America and Caribbean,13.96,15.186666666666667,112.9332,8.182,88.13333333333334,84.26666666666667,27.053333333333335,90,89.46666666666667,0.47,16765,0.2773333333333334,3.9666666666666663,3.933333333333333,9.5,0,78.05333333333333,1
Belarus,Rest of Europe,5.973333333333334,7.746666666666666,227.01903333333334,12.754666666666667,92.46666666666667,97.66666666666667,26.14,94.66666666666667,94.73333333333333,0.164,4541.4,9.629333333333333,2.2333333333333334,2.36,10.566666666666666,0,70.06666666666666,0
Belgium,European Union,3.94,4.8,86.355,11.028666666666666,83.73333333333333,80.66666666666667,25.8,97.66666666666667,97.2,0.08,38633.6,10.684000000000001,0.8533333333333334,0.8466666666666667,10.853333333333333,1,79.45333333333333,1
Belize,Central America and Caribbean,17.133333333333333,20.04,185.83203333333333,6.089333333333333,94.8,90.66666666666667,28.1,95.6,95.26666666666667,0.8446666666666667,4694,0.3,3.56,3.493333333333333,10.346666666666668,0,70.98666666666666,0
Benin,Africa,74.06666666666666,117.08666666666667,265.33123333333333,1.3646666666666667,75.53333333333333,83,22.78,76.4,76,0.686,978.2666666666667,8.499333333333333,8.34,8.226666666666667,2.8266666666666667,0,58.04666666666667,0
Bhutan,Asia,41.20666666666667,52.766666666666666,245.53176666666667,0.5113333333333333,93.8,81.26666666666667,22.973333333333333,94.2,93.53333333333333,0.18466666666666667,1824.6,0.6606666666666666,17.34,18.053333333333335,2.4,0,66.19333333333333,0
Bolivia,South America,39.67333333333333,51.50666666666667,212.4257,2.9606666666666666,86.6,83,25.506666666666668,85.93333333333334,86.6,0.19066666666666668,2372.9333333333334,9.56,1.3066666666666666,1.1933333333333334,7.6,0,66.34,0
Bosnia and Herzegovina,Rest of Europe,7.1,8.133333333333333,107.8272,4.546,90.93333333333334,89.26666666666667,25.173333333333332,89.4,88.46666666666667,0.08,3735.3333333333335,3.7046666666666668,2.8133333333333335,2.7866666666666666,7.593333333333334,0,75.54666666666667,0
Botswana,Africa,41.07333333333333,62.766666666666666,439.0254,5.975333333333333,92.2,83.2,23.993333333333332,96.2,95.86666666666666,11.050666666666666,5444.933333333333,1.8733333333333333,7.506666666666667,7.926666666666667,8.466666666666667,0,56.35333333333333,0
Brazil,South America,20.666666666666668,23.273333333333333,163.80683333333334,6.973333333333334,96.2,69.33333333333333,25.526666666666667,98.33333333333333,98.06666666666666,0.24733333333333332,7936.666666666667,189.60066666666665,3.0733333333333333,3.04,6.573333333333333,0,72.54,0
Brunei Darussalam,Asia,7.96,9.813333333333333,95.45056666666666,0.47213333333333335,97.8,94.6,26.066666666666666,96.73333333333333,96.66666666666667,0.1,34115.13333333333,0.37266666666666665,6.233333333333333,5.713333333333333,8.613333333333333,0,74.23333333333333,1
Bulgaria,European Union,10.446666666666667,12.56,148.81966666666668,10.484666666666667,94.66666666666667,90.66666666666667,25.766666666666666,94.46666666666667,94.2,0.024666666666666667,5610.333333333333,7.5873333333333335,2.1466666666666665,2.18,10.38,1,73.05333333333333,0
Burkina Faso,Africa,75.77333333333333,140.76,296.0575333333333,5.562,87.8,30.266666666666666,21.53333333333333,83.73333333333333,81.8,0.49133333333333334,541.8,14.384666666666666,7.38,6.946666666666667,1.3333333333333333,0,54.88666666666666,0
Burundi,Africa,70.94,111.66666666666667,333.3720333333333,5.314666666666667,91.6,56.86666666666667,21.113333333333333,86.13333333333334,90,0.7786666666666666,309.3333333333333,7.952,8.066666666666666,8.066666666666666,2.38,0,54.74666666666667,0
Cabo Verde,Africa,23.426666666666666,27.986666666666668,137.5177,4.346666666666667,85.46666666666667,94.26666666666667,23.94,94.6,94.26666666666667,0.31133333333333335,2646.3333333333335,0.47533333333333333,8.106666666666667,8.066666666666666,4.64,0,70.54,0
Cambodia,Asia,48.9,60.50666666666667,213.20250000000001,1.5333333333333332,85.53333333333333,49,21.313333333333333,79.6,79.33333333333333,0.314,781.5333333333333,13.698,10.693333333333333,11.48,3.8466666666666667,0,64.12,0
Cameroon,Africa,74.11333333333333,119.85333333333334,378.3835666666667,5.2,82.53333333333333,64,23.706666666666667,76.46666666666667,78.06666666666666,2.521333333333333,1226.5333333333333,18.872,6.613333333333333,6.68,5.286666666666667,0,53.79333333333334,0
Canada,North America,5.093333333333334,5.906666666666666,73.07933333333334,8.06,32.53333333333333,84.6,26.673333333333332,91.26666666666667,91.06666666666666,0.1,39422.8,32.986666666666665,0.5,0.43333333333333335,12.213333333333333,1,80.52666666666667,1
